KW,LO IN TEMP,SCAV TEMP,FO TEMP,TC IN TEMP,TC OUT TEMP,LO PRESS,FO PRESS,CW PRESS,SCAV AIR PRESS,TC LO PRESS,Rack Index,AvgEGT
172,60,32.0,100,495,411,3.8,8.1,2.1,0.7,2.1,16.16,397.1666666666667
393,62,35.0,104,508,374,4.7,7.9,1.9,2.1,2.6,22.79,428.8333333333333
403,62,34.0,101,503,381,4.6,7.8,1.9,2.0,2.6,23.09,427.6666666666667
358,62,33.0,102,473,440,4.6,7.8,1.8,1.4,2.6,21.74,403.3333333333333
357,59,33.0,100,473,369,4.8,6.9,1.8,1.4,4.9,21.71,382.1666666666667
417,59,34.0,100,480,344,4.7,6.7,1.8,1.9,4.9,23.51,397.8333333333333
199,59,32.0,102,459,386,3.7,7.1,2.8,0.7,2.1,16.97,416.1666666666667
209,59,32.0,100,458,390,4.8,7.1,2.9,0.7,5.0,17.27,364.1666666666667
186,59,32.0,101,455,392,4.8,7.0,3.3,0.6,5.0,16.58,362.8333333333333
185,62,33.0,102,495,439,4.6,7.8,3.3,0.7,2.6,16.55,400.3333333333333
413,59,34.0,102,480,371,4.46,6.5,1.8,1.7,4.8,23.39,360.3333333333333
386,59,33.0,102,480,369,4.6,6.9,1.8,1.6,4.8,22.58,384.1666666666667
418,59,34.0,100,483,365,4.6,6.5,1.8,1.8,4.7,23.54,390.6666666666667
402,59,34.0,102,489,368,4.5,6.5,1.8,1.8,4.7,23.06,387.5
398,59,34.0,102,484,367,4.5,6.5,1.8,1.8,4.7,22.94,385.5
201,58,32.0,100,443,389,4.7,7.4,1.8,0.6,4.7,17.03,362.6666666666667
197,62,33.0,102,498,439,4.7,7.4,1.9,0.6,2.7,16.91,393.8333333333333
464,58,32.0,102,412,389,4.7,7.2,1.8,1.8,4.9,24.92,357.1666666666667
202,59,32.0,30,450,390,4.7,5.6,1.8,0.6,4.9,17.06,355.6666666666667
